LAST SEEN   TYPE      REASON                         OBJECT                                         MESSAGE
34m         Normal    Pulled                         pod/httpds-bbd777f8d-svclx                     Successfully pulled image "httpd" in 5.739s (1m9.747s including waiting). Image size: 148251613 bytes.
34m         Normal    Created                        pod/httpds-bbd777f8d-svclx                     Created container: httpd
34m         Normal    Started                        pod/httpds-bbd777f8d-svclx                     Started container httpd
34m         Normal    Pulled                         pod/pod-e                                      Successfully pulled image "busybox" in 3.444s (1m13.187s including waiting). Image size: 4277910 bytes.
34m         Normal    Created                        pod/pod-e                                      Created container: dummy
34m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/myapp                  invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: missing request for cpu in container postgres of Pod postgres-db-dev-778b4db454-zgpdj
34m         Normal    Pulled                         pod/react-frontend-dev-79b7b6cc87-59ttw        Successfully pulled image "nginx" in 3.381s (1m16.567s including waiting). Image size: 192226221 bytes.
34m         Normal    Created                        pod/react-frontend-dev-79b7b6cc87-59ttw        Created container: react-app
34m         Normal    Started                        pod/pod-e                                      Started container dummy
34m         Normal    Started                        pod/react-frontend-dev-79b7b6cc87-59ttw        Started container react-app
33m         Normal    Pulled                         pod/httpds-bbd777f8d-nfsh9                     Successfully pulled image "httpd" in 2.928s (1m26.184s including waiting). Image size: 148251613 bytes.
33m         Normal    Created                        pod/httpds-bbd777f8d-nfsh9                     Created container: httpd
33m         Normal    Started                        pod/httpds-bbd777f8d-nfsh9                     Started container httpd
33m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/myapp                  invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: missing request for cpu in container react-app of Pod react-frontend-dev-79b7b6cc87-5hjws
